,MP,FG%,3P%,2P%,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG,Cluster,Player,Year,Pos,Name
170,31.6,51.5,32.5,59.9,59.9,71.4,0.8,6.5,7.4,6.9,0.9,0.8,2.5,3.0,7.9,0,1,0,0,0,7,Draymond Green,2023,PF,All Stars
171,34.6,41.1,33.1,47.1,47.1,78.0,0.6,3.6,4.1,3.7,0.7,0.2,2.9,1.7,21.7,0,0,0,0,1,3,Jalen Green,2023,SG,All Stars
172,14.8,51.0,29.8,65.1,65.1,77.8,1.5,2.6,4.1,0.7,0.5,0.3,1.2,2.0,6.2,0,1,0,0,0,4,JaMychal Green,2023,PF,Role Players
173,16.0,58.7,38.2,68.6,68.6,67.4,0.9,2.0,2.9,0.8,0.8,0.7,0.7,1.7,5.9,0,0,0,0,1,4,Javonte Green,2023,SG,Defensive Big Men
174,19.5,51.6,27.9,60.3,60.3,68.3,0.8,1.9,2.7,1.2,0.4,0.2,1.0,1.9,7.6,0,1,0,0,0,8,Jeff Green,2023,PF,Rising Stars
175,22.3,55.6,43.2,67.1,67.1,72.6,0.9,1.5,2.4,1.4,0.9,0.1,0.9,2.5,7.7,0,0,0,0,1,4,Josh Green,2023,SG,Defensive Big Men
176,20.9,48.6,40.8,57.1,57.1,91.7,0.5,1.7,2.1,1.0,0.8,0.1,0.6,1.2,9.7,0,0,0,1,0,5,AJ Griffin,2023,SF,Role Players
177,13.4,49.2,33.3,61.8,61.8,71.4,0.8,2.5,3.3,1.1,0.3,0.2,0.3,1.8,4.2,1,0,0,0,0,8,Blake Griffin,2023,C,Rising Stars
178,29.9,44.3,35.8,61.1,61.1,81.0,0.9,2.6,3.5,2.0,0.7,0.4,1.1,2.6,10.3,0,0,0,0,1,7,Quentin Grimes,2023,SG,Bench Warmers
179,24.3,48.6,32.7,54.7,54.7,71.4,0.7,3.6,4.3,1.2,0.4,0.4,1.1,1.2,12.8,0,1,0,0,0,7,Rui Hachimura,2023,PF,All Stars
182,33.4,48.0,39.9,55.8,55.8,88.0,0.7,3.3,4.0,10.2,1.8,0.4,2.6,1.1,20.2,0,0,1,0,0,3,Tyrese Haliburton,2023,PG,Rising Stars
183,9.2,32.1,20.0,46.2,46.2,77.8,0.3,1.0,1.3,1.2,0.1,0.0,0.8,0.7,3.1,0,0,0,1,0,8,Jordan Hall,2023,SF,Role Players
184,13.9,43.9,34.0,52.5,52.5,83.8,0.3,1.2,1.5,1.3,0.6,0.2,0.8,0.8,5.7,0,0,1,0,0,6,R.J. Hampton,2023,PG,All Stars
185,29.9,38.2,35.1,43.8,43.8,75.9,0.4,3.1,3.5,1.6,0.8,0.1,0.9,1.7,13.6,0,0,0,0,1,0,Tim Hardaway Jr.,2023,SG,Offensive Big Men
186,36.7,44.7,38.6,50.8,50.8,86.5,0.5,5.8,6.3,11.0,1.2,0.5,3.5,2.2,21.3,0,0,1,0,0,3,James Harden,2023,PG,Key Pieces
187,10.0,40.2,27.3,48.5,48.5,83.3,0.0,1.2,1.2,0.6,0.2,0.1,0.6,1.3,5.5,0,0,0,0,1,6,Jaden Hardy,2023,SG,6th Men
188,3.0,60.0,66.7,50.0,50.0,77.2,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,2.7,0,0,0,1,0,4,Ron Harper Jr.,2023,SF,Defensive Big Men
189,13.0,60.3,0.0,61.0,61.0,69.4,1.2,1.5,2.8,0.6,0.3,0.5,0.7,1.5,6.0,1,0,0,0,0,1,Montrezl Harrell,2023,C,Offensive Big Men
191,23.9,50.7,46.6,56.7,56.7,85.7,0.5,1.5,2.0,1.2,0.8,0.2,0.8,2.1,9.1,0,0,0,0,1,7,Gary Harris,2023,SG,6th Men
192,24.6,45.2,39.9,57.1,57.1,66.7,0.4,2.4,2.7,1.6,0.6,0.3,0.7,2.6,8.4,0,0,0,0,1,8,Joe Harris,2023,SG,Defensive Big Men
193,12.6,42.1,39.3,43.8,43.8,81.5,0.8,1.2,2.0,0.5,0.5,0.1,0.6,1.3,3.7,0,0,0,0,1,6,Kevon Harris,2023,SG,Role Players
194,33.8,50.3,37.9,57.9,57.9,86.1,1.0,5.2,6.2,2.6,1.0,0.5,1.4,2.2,16.3,0,1,0,0,0,3,Tobias Harris,2023,PF,Role Players
195,33.5,50.5,32.3,58.1,58.1,72.7,1.9,6.3,8.2,4.1,1.1,0.2,1.6,2.7,9.3,0,0,0,1,0,7,Josh Hart,2023,SF,6th Men
196,18.5,49.8,24.2,54.4,54.4,76.7,2.6,3.4,6.1,0.8,0.6,0.8,0.8,2.3,5.0,1,0,0,0,0,7,Isaiah Hartenstein,2023,C,Bench Warmers
